Names	total	elements
		CHEMBL574058
		CHEMBL1241683
		CHEMBL4440096
		CHEMBL1241579
		CHEMBL4447225
		CHEMBL158805
		CHEMBL1241300
		CHEMBL338448
		CHEMBL3426225
		CHEMBL527026
		CHEMBL348554
		CHEMBL1242031
		CHEMBL1242661
		CHEMBL347659
		CHEMBL1242290
		CHEMBL169757
		CHEMBL1241858
		CHEMBL105436
		CHEMBL2419760
		CHEMBL325949
		CHEMBL1241773
		CHEMBL1241390
		CHEMBL1240544
		CHEMBL195029
		CHEMBL1242657
		CHEMBL1241950
		CHEMBL1241680
		CHEMBL4095253
		CHEMBL518803
		CHEMBL1242115
		CHEMBL10
		CHEMBL3357634
		CHEMBL113070
		CHEMBL1784637
		CHEMBL1242754
		CHEMBL347161
		CHEMBL355269
		CHEMBL333231
		CHEMBL345837
		CHEMBL154911
		CHEMBL168382
		CHEMBL1241681
		CHEMBL522785
		CHEMBL1240565
		CHEMBL1242472
		CHEMBL1241241
		CHEMBL169390
		CHEMBL2110732
		CHEMBL79704
		CHEMBL355330
		CHEMBL453336
		CHEMBL111664
		CHEMBL435054
		CHEMBL154822
		CHEMBL1242200
		CHEMBL169519
		CHEMBL26001
		CHEMBL1242469
		CHEMBL2111784
		CHEMBL1242033
		CHEMBL1242852
		CHEMBL1242381
		CHEMBL1242027
		CHEMBL291979
		CHEMBL1916891
		CHEMBL1242288
		CHEMBL1241490
		CHEMBL2086760
		CHEMBL1242845
		CHEMBL4556666
		CHEMBL57553
		CHEMBL367442
		CHEMBL1241678
		CHEMBL293251
		CHEMBL443906
		CHEMBL1241863
		CHEMBL1242573
		CHEMBL291359
		CHEMBL160566
		CHEMBL155389
		CHEMBL346553
		CHEMBL176309
		CHEMBL3628799
		CHEMBL431996
		CHEMBL1242752
		CHEMBL3604937
		CHEMBL1242751
		CHEMBL1241439
		CHEMBL2011291
		CHEMBL1242665
		CHEMBL1242293
		CHEMBL346716
		CHEMBL1241946
		CHEMBL429057
		CHEMBL1241582
		CHEMBL1241949
		CHEMBL161226
		CHEMBL1242110
		CHEMBL176470
		CHEMBL352954
		CHEMBL1242113
		CHEMBL247468
		CHEMBL1241771
		CHEMBL2152704
		CHEMBL121260
		CHEMBL523059
		CHEMBL62701
		CHEMBL1257912
		CHEMBL1242567
		CHEMBL1242199
		CHEMBL1242574
		CHEMBL4572913
		CHEMBL304414
		CHEMBL1241492
		CHEMBL62176
		CHEMBL176705
		CHEMBL1242748
		CHEMBL360190
		CHEMBL1241485
		CHEMBL435831
		CHEMBL1241581
		CHEMBL1916897
		CHEMBL1242847
		CHEMBL128000
		CHEMBL245212
		CHEMBL354033
		CHEMBL373882
		CHEMBL1242202
		CHEMBL246356
		CHEMBL56081
		CHEMBL4456283
		CHEMBL1240554
		CHEMBL157807
		CHEMBL4171115
		CHEMBL1241769
		CHEMBL1242386
		CHEMBL131577
		CHEMBL1241772
		CHEMBL2064374
		CHEMBL58436
		CHEMBL1242209
		CHEMBL122068
		CHEMBL1762110
		CHEMBL57323
		CHEMBL1241770
		CHEMBL160935
		CHEMBL1242208
		CHEMBL1242034
		CHEMBL1242569
		CHEMBL1242658
		CHEMBL373101
		CHEMBL292323
		CHEMBL173453
		CHEMBL428690
		CHEMBL2419762
		CHEMBL345203
		CHEMBL485246
		CHEMBL1242119
		CHEMBL1241862
		CHEMBL345862
		CHEMBL5277101
		CHEMBL1242662
		CHEMBL5271284
		CHEMBL462338
		CHEMBL1241947
		CHEMBL3133821
		CHEMBL168656
		CHEMBL293913
		CHEMBL391738
		CHEMBL1241487
		CHEMBL4163321
		CHEMBL247228
		CHEMBL1241676
		CHEMBL337026
		CHEMBL1090360
		CHEMBL1241483
		CHEMBL111339
		CHEMBL160207
		CHEMBL1242117
		CHEMBL104153
		CHEMBL346770
		CHEMBL1241270
		CHEMBL1241775
		CHEMBL590109
		CHEMBL335931
		CHEMBL1241945
		CHEMBL1242379
		CHEMBL406845
		CHEMBL6976
		CHEMBL3604910
		CHEMBL424375
		CHEMBL1242289
		CHEMBL158275
		CHEMBL336174
		CHEMBL301483
		CHEMBL366831
		CHEMBL1241586
		CHEMBL166765
		CHEMBL501709
		CHEMBL348116
		CHEMBL332906
		CHEMBL175409
		CHEMBL29197
		CHEMBL268868
		CHEMBL169064
		CHEMBL534948
		CHEMBL263528
		CHEMBL1242757
		CHEMBL939
		CHEMBL120979
		CHEMBL253292
		CHEMBL1241860
		CHEMBL1242660
		CHEMBL460746
		CHEMBL523122
		CHEMBL489083
		CHEMBL1242476
		CHEMBL450786
EGFR STAT3	1	CHEMBL116438
ESR1 STAT3	2	CHEMBL1362841
		CHEMBL1498999
MAPK1 SRC	14	CHEMBL2312290
		CHEMBL383264
		CHEMBL2420909
		CHEMBL4552628
		CHEMBL1092754
		CHEMBL4094562
		CHEMBL2436978
		CHEMBL296586
		CHEMBL2420911
		CHEMBL1336
		CHEMBL361708
		CHEMBL3883384
		CHEMBL378963
		CHEMBL210390
EGFR	6893	CHEMBL3221542
		CHEMBL27685
		CHEMBL4458437
		CHEMBL595615
		CHEMBL1958021
		CHEMBL3628816
		CHEMBL3360611
		CHEMBL5093402
		CHEMBL5268867
		CHEMBL5173070
		CHEMBL1907764
		CHEMBL491676
		CHEMBL62843
		CHEMBL208594
		CHEMBL1094194
		CHEMBL4793944
		CHEMBL4777353
		CHEMBL3671568
		CHEMBL2424796
		CHEMBL4869409
		CHEMBL490266
		CHEMBL2048789
		CHEMBL3915306
		CHEMBL1829271
		CHEMBL326596
		CHEMBL5193016
		CHEMBL5280664
		CHEMBL4074766
		CHEMBL584714
		CHEMBL1928958
		CHEMBL3628796
		CHEMBL53777
		CHEMBL3237934
		CHEMBL3671513
		CHEMBL396079
		CHEMBL3926191
		CHEMBL354757
		CHEMBL300083
		CHEMBL4073285
		CHEMBL3937527
		CHEMBL47660
		CHEMBL517907
		CHEMBL3905242
		CHEMBL1760035
		CHEMBL4790655
		CHEMBL3971413
		CHEMBL205454
		CHEMBL77737
		CHEMBL4863836
		CHEMBL3805775
		CHEMBL93302
		CHEMBL3425667
		CHEMBL3237929
		CHEMBL357097
		CHEMBL3425657
		CHEMBL399373
		CHEMBL248220
		CHEMBL310740
		CHEMBL4650321
		CHEMBL591910
		CHEMBL382073
		CHEMBL5209276
		CHEMBL5184760
		CHEMBL3814447
		CHEMBL1201179
		CHEMBL2425088
		CHEMBL204625
		CHEMBL53690
		CHEMBL2437227
		CHEMBL81664
		CHEMBL1243284
		CHEMBL1221512
		CHEMBL13629
		CHEMBL4291935
		CHEMBL5087214
		CHEMBL4748367
		CHEMBL3297893
		CHEMBL233324
		CHEMBL3943489
		CHEMBL3234740
		CHEMBL3671563
		CHEMBL4113919
		CHEMBL473437
		CHEMBL2032379
		CHEMBL1169856
		CHEMBL480356
		CHEMBL1914671
		CHEMBL3671521
		CHEMBL56964
		CHEMBL3666714
		CHEMBL5290971
		CHEMBL466174
		CHEMBL5170965
		CHEMBL4063890
		CHEMBL251497
		CHEMBL3297999
		CHEMBL5177023
		CHEMBL3948065
		CHEMBL2424676
		CHEMBL4092003
		CHEMBL2437468
		CHEMBL5206164
		CHEMBL1934623
		CHEMBL52418
		CHEMBL3893004
		CHEMBL3098322
		CHEMBL3234737
		CHEMBL3759754
		CHEMBL383121
		CHEMBL4077064
		CHEMBL309866
		CHEMBL3961982
		CHEMBL593911
		CHEMBL3604927
		CHEMBL379017
		CHEMBL3699607
		CHEMBL2424801
		CHEMBL1641991
		CHEMBL3747152
		CHEMBL3752916
		CHEMBL3355884
		CHEMBL3786647
		CHEMBL3699587
		CHEMBL2064379
		CHEMBL179521
		CHEMBL119923
		CHEMBL3622654
		CHEMBL3671538
		CHEMBL65063
		CHEMBL1928948
		CHEMBL126192
		CHEMBL4078431
		CHEMBL4555707
		CHEMBL438075
		CHEMBL210378
		CHEMBL3763701
		CHEMBL4224932
		CHEMBL4858409
		CHEMBL370808
		CHEMBL5175873
		CHEMBL2347972
		CHEMBL4097141
		CHEMBL3604912
		CHEMBL3219505
		CHEMBL3353408
		CHEMBL3740257
		CHEMBL98
		CHEMBL93051
		CHEMBL5206715
